miRNA	contrast	estimate	SE	df	z.ratio	p.value	padj
hsa-miR-125a-5p	A - C	0.3093762658461243	0.6586852829020489	Inf	0.46968753345006914	0.8855289559556239	0.9746203112355434
hsa-miR-125a-5p	B - C	-0.1482769689359884	0.7541072081024086	Inf	-0.19662584754905596	0.9789119445169139	0.9993328485310491
hsa-miR-127-3p	A - B	-0.5111949794896072	0.6236718048272927	Inf	-0.8196538235862169	0.6908178397537199	0.99996069020055
hsa-miR-127-3p	A - C	0.18447298170836068	0.6665657689534126	Inf	0.27675135793127387	0.9586586835962669	0.9746203112355434
hsa-miR-127-3p	B - C	0.6956679611979679	0.7178027425746694	Inf	0.9691631418162228	0.5964053286457073	0.9993328485310491
hsa-miR-1301-3p	A - B	-0.03286599561415537	0.3563747638509165	Inf	-0.09222312842528972	0.9953219502190027	0.99996069020055
hsa-miR-1301-3p	A - C	1.796594146942311	0.5700282675615754	Inf	3.151763253123653	0.004624157210809443	0.12485224469185496
hsa-miR-1301-3p	B - C	1.8294601425564663	0.5964652058336546	Inf	3.067169928209821	0.006120865356389338	0.16526336462251212
hsa-miR-130a-3p	A - B	0.014311763001054568	0.61966323981829885	Inf	0.023096033589552842	0.9997059499821619	0.99996069020055
hsa-miR-130a-3p	A - C	0.4618172524627397	0.6534357678024846	Inf	0.7067523316267778	0.7594967351215468	0.9746203112355434
hsa-miR-130a-3p	B - C	0.4475054894616851	0.7236767453697988	Inf	0.6183776006689421	0.8100546479363497	0.9993328485310491
hsa-miR-139-5p	A - B	-0.1662427553256449	0.6308036011013262	Inf	-0.26354122746826436	0.9624372885919859	0.99996069020055
hsa-miR-139-5p	A - C	0.353514534661129	0.6650942667657296	Inf	0.5315254578576147	0.8558429512178598	0.9746203112355434
hsa-miR-139-5p	B - C	0.5197572899867738	0.7306238392708707	Inf	0.7113883534179064	0.7567545231823226	0.9993328485310491
hsa-miR-146a-5p	A - B	0.17092672222877903	0.6474401530367274	Inf	0.26400389507365457	0.9623078227740055	0.99996069020055
hsa-miR-146a-5p	A - C	0.14475090829930443	0.6456283147858275	Inf	0.22420161102649633	0.9726700541334423	0.9746203112355434
hsa-miR-146a-5p	B - C	-0.0261758139294746	0.7293831487927255	Inf	-0.035887604440547866	0.9992901863745363	0.9993328485310491
hsa-miR-146b-5p	A - B	-0.3920708973145615	0.323984715961669	Inf	-1.2101524485523814	0.4471098193196168	0.99996069020055
hsa-miR-146b-5p	A - C	2.337502531158359	0.6327912920804473	Inf	3.6939549586298512	6.463727115719742e-4	0.034904126424886606
hsa-miR-146b-5p	B - C	2.7295734284729205	0.6478592578655477	Inf	4.213219762369125	7.469313846764081e-5	0.004033429477252604
hsa-miR-148b-3p	A - B	-0.14675525342680576	0.6620162759516787	Inf	-0.22167922263820233	0.9732732391230623	0.99996069020055
hsa-miR-148b-3p	A - C	-1.6993326193801606	0.5803586026156854	Inf	-2.9280734561721693	0.009554802804738971	0.17198645048530148
hsa-miR-148b-3p	B - C	-1.5525773659533548	0.6547166974204871	Inf	-2.371372796921694	0.04659977255793435	0.3176085814051258
hsa-miR-151a-3p	A - B	-0.18091826375677092	0.5438613239591525	Inf	-0.3326551379674114	0.9408274743616334	0.99996069020055
hsa-miR-151a-3p	A - C	0.32592452060489174	0.5930072041050125	Inf	0.5496130879165095	0.8466765739247926	0.9746203112355434
hsa-miR-151a-3p	B - C	0.5068427843616626	0.6428843939480816	Inf	0.788388688748594	0.7101809167487878	0.9993328485310491
hsa-miR-151a-5p	A - B	-0.9839254836941144	0.5336713233409901	Inf	-1.843691876742333	0.15548669498011147	0.99996069020055
hsa-miR-151a-5p	A - C	0.8519438094856117	0.672377809717494	Inf	1.267061162895254	0.4138775947286949	0.952202338073415
hsa-miR-151a-5p	B - C	1.835869293179726	0.6996891222128381	Inf	2.6238356934485454	0.023628524940618956	0.25518806935868477
hsa-miR-15b-5p	A - B	-0.5130098760891402	0.6931753444468254	Inf	-0.7400867330307851	0.7396107032706318	0.99996069020055
hsa-miR-15b-5p	A - C	-0.6451928661715218	0.6895434002911485	Inf	-0.935681301422216	0.6176675970915417	0.9746203112355434
hsa-miR-15b-5p	B - C	-0.13218299008238166	0.7530429465567001	Inf	-0.1755318082279242	0.9831573326440818	0.9993328485310491
